weekday,hour,tweet_length,mentions_count,urls_count,photos_count,hashtags_count,quote_url_count,video_count,retweets_count,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
Monday,23,85,2,2,2,2,,0,0,0,2,0,0,0,0,0,0,0,0
Monday,22,160,156,63,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Monday,21,126,2,2,2,2,,0,0,0,2,0,0,3,0,2,2,0,3
Monday,20,47,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Monday,19,30,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Monday,14,277,2,2,2,2,,0,0,2,2,0,0,6,0,1,7,1,7
Monday,13,66,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,1,1
Monday,3,27,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Monday,2,85,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Monday,2,123,84,2,51,21,,1,0,0,0,0,0,0,0,0,0,0,1
Monday,1,74,2,2,51,2,,1,0,0,0,0,0,0,0,0,0,0,0
Sunday,23,253,2,27,102,2,,1,0,0,1,0,0,2,1,2,2,2,4
Sunday,23,252,2,27,102,2,,1,0,0,0,0,0,1,0,0,0,0,1
Sunday,23,163,2,27,51,2,,1,0,0,0,0,0,0,0,0,0,0,1
Sunday,22,97,2,2,51,2,,1,0,0,0,0,0,0,0,0,0,0,0
Sunday,22,95,2,2,51,2,,1,0,0,0,0,0,1,0,0,0,0,1
Sunday,22,255,2,2,2,2,,0,0,0,0,0,0,2,0,0,0,0,2
Sunday,22,244,2,2,2,2,,0,0,0,2,0,0,3,0,1,3,0,6
Sunday,21,303,2,2,51,23,,1,0,2,0,2,2,0,2,0,1,3,1
Sunday,20,146,2,62,2,2,,0,0,1,0,0,0,0,0,0,0,1,1
Sunday,17,303,2,2,63,2,,1,0,1,2,1,0,3,0,0,2,1,3
Sunday,16,82,2,2,2,2,,0,0,0,0,0,1,0,0,0,0,0,2
Sunday,15,23,2,2,2,2,,0,0,1,0,1,0,0,0,0,0,1,0
Sunday,12,149,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,1,0
Sunday,7,203,2,2,51,2,,1,0,1,0,0,0,3,0,0,2,0,3
Sunday,3,100,2,80,2,2,,0,0,0,0,0,0,0,0,0,0,0,1
Sunday,3,136,2,2,102,2,,1,0,0,1,0,1,2,0,1,1,0,2
Sunday,0,90,2,2,2,2,,0,0,0,1,0,0,1,0,1,1,0,1
Sunday,0,164,2,69,51,2,,1,0,0,0,0,0,0,0,0,0,0,1
Saturday,23,200,2,2,2,2,,0,0,0,1,0,1,1,0,2,1,0,1
Saturday,22,95,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Saturday,21,82,2,2,2,2,,0,0,0,0,0,0,1,0,0,0,0,1
Saturday,21,86,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,1,1
Saturday,21,101,2,25,2,2,,0,0,0,1,0,0,1,1,0,1,1,1
Saturday,20,245,2,2,2,2,,0,0,0,1,0,0,1,0,0,1,0,1
Saturday,19,233,2,67,51,2,,1,0,0,1,0,0,0,0,0,0,0,3
Saturday,2,174,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,1
Saturday,0,94,2,2,2,10,,0,0,0,0,0,0,1,0,0,1,0,2
Saturday,0,125,2,2,2,31,,0,0,0,2,0,0,0,0,0,0,0,1
Saturday,0,182,2,2,51,15,,1,0,0,0,0,0,1,0,0,0,0,2
Friday,23,200,2,25,2,83,,0,0,0,0,1,0,0,1,0,0,1,0
Friday,23,65,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Friday,22,139,2,2,2,2,,0,0,1,0,1,1,0,2,0,0,2,1
Friday,21,183,2,2,2,2,,0,0,1,1,1,2,1,1,1,1,1,3
Friday,21,65,2,2,2,2,,0,0,2,0,1,1,0,1,1,0,2,0
Friday,21,253,2,27,102,2,,1,0,0,1,0,0,2,1,2,2,2,4
Friday,21,252,2,27,102,2,,1,0,0,0,0,0,1,0,0,0,0,1
Friday,21,163,2,27,51,2,,1,0,0,0,0,0,0,0,0,0,0,1
Friday,18,131,2,2,2,2,,0,0,0,0,0,0,3,0,0,2,0,3
Friday,17,58,2,61,2,2,,0,0,0,1,0,0,0,0,0,1,0,1
Friday,7,69,2,105,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Friday,5,91,2,2,2,2,,0,0,0,1,1,0,1,0,0,1,2,2
Friday,5,80,2,2,2,2,,0,0,0,0,0,0,0,0,0,1,0,1
Friday,4,83,2,66,51,2,,1,0,0,0,0,0,0,0,0,0,0,0
Friday,4,50,2,2,51,2,,1,0,0,0,0,0,0,0,0,0,0,0
Friday,3,44,2,2,2,2,,0,0,1,1,1,0,1,0,1,1,1,1
Friday,2,85,2,2,51,2,,1,0,1,0,0,0,0,0,0,0,1,0
