"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1",0,2,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0
"3",0,1,0,0,2,0,1,1,0,2
"4",0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0
"6",2,2,0,0,6,0,1,8,1,8
"7",0,0,0,0,0,0,0,2,1,3
"8",0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,1,0,0,2,0,2
"10",0,0,0,0,0,0,0,0,0,2
"11",0,0,0,0,0,0,0,0,0,0
"12",0,1,0,0,1,0,1,1,0,2
"13",0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,2,0,0,1,0,2
"18",0,2,0,0,2,0,1,2,0,4
"19",2,0,2,2,0,4,0,1,4,4
"20",0,0,0,0,0,0,0,0,0,1
"21",2,2,1,0,3,0,0,2,2,3
"22",0,0,0,1,0,0,0,0,0,1
"23",1,0,1,0,0,1,0,0,1,0
"24",0,0,0,0,0,1,0,0,2,0
"25",1,0,0,0,4,0,0,3,0,4
"26",0,0,0,0,0,0,0,0,0,1
"27",0,1,0,1,2,0,1,1,0,2
"28",0,1,0,0,1,0,1,1,0,1
"29",0,0,0,0,0,0,0,0,0,1
"30",1,2,1,2,2,1,3,2,1,2
"31",0,0,0,0,0,0,0,0,0,0
"32",0,0,0,0,1,0,0,0,0,1
"33",0,0,0,0,0,0,0,0,1,1
"34",0,1,0,0,1,1,0,1,1,1
"35",1,1,1,0,1,0,0,0,1,1
"36",0,1,0,0,0,0,0,0,0,4
"37",0,0,0,0,0,0,0,0,0,0
"38",0,0,0,0,1,0,0,1,0,2
"39",0,2,0,0,0,0,1,1,0,2
"40",0,0,0,0,0,0,0,0,0,1
"41",0,0,1,0,0,1,0,0,1,0
"42",0,0,0,0,0,0,0,0,0,0
"43",1,0,2,1,0,2,0,0,3,1
"44",0,1,0,1,1,0,0,1,0,3
"45",2,0,1,1,0,1,1,0,2,0
"46",0,1,0,0,1,0,1,1,0,2
"47",0,0,0,0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0,0,0,0
"49",0,2,0,0,4,0,2,3,0,4
"50",0,1,0,0,0,0,0,1,0,1
"51",0,0,0,0,0,0,0,0,0,0
"52",0,1,1,0,1,0,0,0,1,1
"53",0,0,0,0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0,0,0,0
"56",1,1,1,0,1,0,1,1,1,1
"57",1,0,0,0,0,0,0,0,1,0
"58",0,0,0,0,1,0,0,1,1,2
"59",0,0,0,1,0,0,0,1,0,0
"60",0,0,1,0,0,0,0,0,1,0
"61",0,0,0,0,0,0,0,0,0,0
"62",0,0,0,0,0,0,0,0,0,0
"63",0,0,1,1,0,0,0,0,1,1
"64",0,1,0,0,2,0,0,2,0,2
"65",0,0,0,0,0,0,0,0,0,0
"66",0,0,0,0,0,1,0,0,1,2
"67",0,0,0,0,0,0,0,0,0,0
"68",0,1,0,0,1,0,1,1,0,1
"69",1,0,0,0,0,0,0,0,0,1
"70",0,0,0,0,1,0,0,0,0,1
"71",0,1,0,0,0,0,0,1,0,1
"72",0,0,0,0,0,1,0,0,1,0
"73",0,0,0,0,0,0,0,0,0,0
"74",0,0,0,0,0,0,0,0,0,0
"75",0,0,0,0,0,1,0,0,1,0
"76",1,0,1,1,0,1,0,0,2,0
"77",0,0,0,0,0,0,0,0,0,0
"78",0,0,0,0,0,0,0,0,0,0
"79",0,0,0,0,0,0,0,1,0,2
"80",0,0,0,1,0,1,0,0,1,0
"81",0,0,0,0,0,0,0,0,0,0
"82",0,0,0,0,0,0,0,0,0,0
"83",0,1,0,0,1,0,0,1,0,1
"84",1,0,0,1,2,0,0,0,1,2
"85",0,0,0,0,2,0,0,2,0,2
"86",1,3,1,1,3,1,2,2,1,4
"87",0,1,0,0,0,0,0,0,0,1
"88",0,0,0,0,0,0,0,0,0,1
"89",1,0,0,2,0,0,0,0,3,1
"90",0,0,0,0,0,0,0,0,0,0
"91",0,0,0,1,0,0,0,0,1,1
"92",0,0,0,0,0,0,0,0,0,0
"93",0,2,1,0,2,0,1,2,1,2
"94",0,0,0,0,0,1,0,0,3,2
"95",0,0,0,0,0,0,0,0,0,0
"96",0,0,0,0,1,0,0,1,0,1
"97",0,0,0,0,0,0,0,0,0,0
"98",0,0,0,0,0,0,0,1,0,1
"99",0,1,0,0,0,0,0,1,0,2
"100",0,0,0,0,0,0,0,0,0,0
"101",1,0,0,2,0,1,0,0,2,2
"102",0,0,0,0,0,0,0,0,0,0
"103",0,1,0,0,2,0,0,2,0,2
"104",0,1,0,0,0,0,0,0,0,1
"105",0,0,0,0,0,0,0,0,0,3
"106",0,0,0,0,0,0,0,0,0,0
"107",0,0,0,0,0,0,0,0,0,0
"108",0,0,0,0,1,0,0,1,0,1
"109",0,0,0,1,0,0,0,0,0,0
"110",0,0,0,0,0,0,0,0,1,0
"111",0,1,0,0,2,0,1,1,0,3
"112",0,0,0,0,2,0,0,1,0,2
"113",0,0,0,0,0,0,0,0,0,0
"114",0,1,0,0,1,1,1,1,1,1
"115",0,0,0,0,0,0,0,0,0,0
"116",0,1,0,0,1,0,0,2,0,1
"117",0,0,0,0,0,0,0,0,1,0
"118",0,0,0,0,0,0,0,0,0,0
"119",0,0,0,0,0,0,0,0,0,1
"120",0,1,0,0,1,0,0,0,0,1
"121",0,0,0,0,0,0,1,0,2,0
"122",1,4,0,2,3,1,3,2,1,5
"123",0,0,0,0,1,0,0,0,0,1
"124",0,0,0,0,0,0,0,0,0,0
"125",1,0,0,0,0,0,0,0,1,0
"126",0,0,0,0,0,0,0,0,0,0
"127",1,0,0,1,1,0,0,1,1,1
"128",0,2,0,0,1,0,1,2,0,2
"129",0,0,0,0,0,0,0,0,0,2
"130",0,0,0,0,0,0,0,0,0,2
"131",0,0,0,1,0,0,0,0,0,0
"132",0,0,0,0,0,0,0,0,0,1
"133",0,1,0,0,1,1,1,1,0,1
"134",1,2,0,0,0,0,0,0,0,1
"135",0,0,0,0,0,0,0,0,0,2
"136",0,1,0,0,0,0,0,0,0,1
"137",0,0,0,0,0,0,0,0,0,0
"138",0,1,0,0,1,0,1,1,0,2
"139",2,2,1,1,1,0,1,2,2,2
"140",0,0,0,1,0,0,0,0,0,0
"141",0,0,0,0,0,0,0,0,0,0
"142",1,0,0,1,0,0,0,0,2,1
"143",0,0,0,0,0,0,0,1,0,1
"144",0,1,0,1,0,0,0,1,1,0
"145",0,0,0,0,1,0,0,1,0,1
"146",0,0,0,0,0,0,0,0,0,0
"147",0,1,0,0,1,0,0,0,0,2
"148",0,0,0,0,0,0,0,0,0,1
"149",0,1,0,0,1,0,1,1,1,2
"150",0,0,0,1,1,0,0,0,0,1
"151",0,0,0,0,0,0,0,0,0,1
"152",0,2,0,1,6,0,1,7,0,9
"153",0,1,0,0,0,0,0,0,1,0
"154",1,0,0,1,0,0,0,0,2,1
"155",0,0,0,0,0,0,0,0,0,0
"156",0,0,0,0,0,0,0,0,0,0
"157",0,0,0,0,0,0,0,0,0,2
"158",0,1,0,0,0,0,0,0,0,0
"159",0,1,0,0,1,0,1,1,0,1
"160",0,1,0,0,1,0,1,1,0,2
"161",0,0,0,0,1,0,0,2,0,3
"162",2,0,0,2,0,1,1,0,6,0
